company,symbol,exchange,quarter,periodEnded,revenue,profitLoss,previousRevenue,previousProfitLoss,currency,sourceUrl
Sanofi India Limited,SANOFI,NSE,Fourth Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120978_1390912_28022025042143.xml
Sansera Engineering Limited,SANSERA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119506_1377434_11022025100040.xml
Sanstar Limited,SANSTAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120203_1381593_13022025024345.xml
Sanwaria Consumer Limited,SANWARIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120886_1386166_15022025030106.xml
Sapphire Foods India Limited,SAPPHIRE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118898_1373226_06022025053052.xml
Saraswati Saree Depot Limited,SSDL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120535_1383934_14022025032923.xml
Sarda Energy & Minerals Limited,SARDAEN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119282_1375776_08022025053303.xml
Saregama India Limited,SAREGAMA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119518_1377527_11022025113352.xml
Sarla Performance Fibers Limited,SARLAPOLY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118172_1366194_30012025053823.xml
Sarthak Metals Limited,SMLT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118536_1369868_04022025122854.xml
Sarveshwar Foods Limited,SARVESHWAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120182_1381468_13022025014703.xml
Sasken Technologies Limited,SASKEN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117645_1360575_24012025054702.xml
Satia Industries Limited,SATIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119592_1378052_11022025035910.xml
Satin Creditcare Network Limited,SATIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119397_1376708_10022025053049.xml
Saurashtra Cement Limited,SAURASHCEM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120547_1384006_14022025034321.xml
Savita Oil Technologies Limited,SOTL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120265_1382030_13022025044858.xml
Schaeffler India Limited,SCHAEFFLER,NSE,Fourth Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121084_1400896_25032025122849.xml
Schneider Electric Infrastructure Limited,SCHNEIDER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119619_1378191_11022025045420.xml
Seamec Limited,SEAMECLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119638_1378310_11022025052928.xml
SecMark Consultancy Limited,SECMARK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120730_1385297_14022025072534.xml
Sejal Glass Limited,SEJALLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119273_1375718_08022025043520.xml
Semac Construction Limited,SEMAC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119369_1376486_10022025041034.xml
Senco Gold Limited,SENCO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120389_1382843_13022025074005.xml
Senores Pharmaceuticals Limited,SENORES,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117594_1360008_24012025123855.xml
Servotech Renewable Power System Limited,SERVOTECH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117473_1356888_22012025022824.xml
Seshasayee Paper and Boards Limited,SESHAPAPER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117378_1351352_19012025021313.xml
Setco Automotive Limited,SETCO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119983_1380306_12022025060807.xml
Seya Industries Limited,SEYAIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120828_1385896_15022025120205.xml
Shah Alloys Limited,SHAHALLOYS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119877_1379750_12022025042209.xml
Shah Metacorp Limited,SHAH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117195_1342525_10012025072124.xml
Shaily Engineering Plastics Limited,SHAILY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119294_1375842_08022025065026.xml
Shakti Pumps (India) Limited,SHAKTIPUMP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117699_1361107_25012025123332.xml
Shalby Limited,SHALBY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118520_1369656_03022025085504.xml
Shalimar Paints Limited,SHALPAINTS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119537_1377650_11022025123222.xml
Shankar Lal Rampal Dye-Chem Limited,SRD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120529_1383903_14022025032337.xml
Shankara Building Products Limited,SHANKARA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118463_1369019_03022025035055.xml
Shanthi Gears Limited,SHANTIGEAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118183_1366330_30012025061914.xml
Shanti Overseas (India) Limited,SHANTI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117479_1357020_22012025040026.xml
Sharda Cropchem Limited,SHARDACROP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117630_1360451_24012025050751.xml
Sharda Motor Industries Limited,SHARDAMOTR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118746_1371735_05022025051212.xml
Share India Securities Limited,SHAREINDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118001_1364546_29012025042600.xml
Sheela Foam Limited,SFL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118391_1368028_31012025083002.xml
Sheetal Cool Products Limited,SCPL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119164_1375141_07022025080438.xml
Shekhawati Industries Limited,SHEKHAWATI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117288_1347978_16012025062822.xml
Shemaroo Entertainment Limited,SHEMAROO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117304_1348531_17012025113740.xml
Shilpa Medicare Limited,SHILPAMED,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119524_1377553_11022025114900.xml
Shipping Corporation Of India Limited,SCI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119160_1375122_07022025075254.xml
Shipping Corporation of India Land and Assets Limited,SCILAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118652_1370892_04022025074626.xml
Shirpur Gold Refinery Limited,SHIRPUR-G,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120910_1386302_15022025044630.xml
Shiva Mills Limited,SHIVAMILLS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118879_1373073_06022025050017.xml
Shiva Texyarn Limited,SHIVATEX,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118867_1372925_06022025041737.xml
Shivalik Bimetal Controls Limited,SBCL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119921_1379954_12022025050356.xml
Shivalik Rasayan Limited,SHIVALIK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121062_1397700_19032025034850.xml
Shivam Autotech Limited,SHIVAMAUTO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119212_1375403_08022025121635.xml
Shoppers Stop Limited,SHOPERSTOP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117229_1345433_14012025073522.xml
Shradha Realty Limited,SHRADHA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119291_1375825_08022025062529.xml
Shree Digvijay Cement Co.Ltd,SHREDIGCEM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117693_1361022_25012025085700.xml
Shree Pushkar Chemicals & Fertilisers Limited,SHREEPUSHK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119679_1378576_11022025064158.xml
Shree Ram Proteins Limited,SRPL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118569_1370155_04022025031344.xml
Shree Rama Multi-Tech Limited,SHREERAMA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118738_1371677_05022025045137.xml
Shree Rama Newsprint Limited,RAMANEWS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118768_1371981_05022025064734.xml
Shree Renuka Sugars Limited,RENUKA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119733_1378815_11022025081658.xml
Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120825_1385889_15022025120126.xml
Shree Vasu Logistics Limited,SVLL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119103_1374784_07022025061413.xml
ShreeOswal Seeds And Chemicals Limited,OSWALSEEDS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120739_1385354_14022025073918.xml
Shrenik Limited,SHRENIK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117206_1343474_13012025024913.xml
Shreyans Industries Limited,SHREYANIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118725_1371528_05022025034011.xml
Shriram Finance Limited,SHRIRAMFIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117665_1360798_24012025070921.xml
Shriram Properties Limited,SHRIRAMPPS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119929_1380012_12022025051858.xml
Shyam Century Ferrous Limited,SHYAMCENT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118204_1366517_30012025071703.xml
Shyam Metalics and Energy Limited,SHYAMMETL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121000_1393480_07032025123734.xml
Shyam Telecom Limited,SHYAMTEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118893_1373182_06022025052144.xml
Sical Logistics Limited,SICALLOG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118197_1366448_30012025065750.xml
Siemens Limited,SIEMENS,NSE,First Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119965_1380196_12022025055141.xml
Sigachi Industries Limited,SIGACHI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121028_1394190_10032025122845.xml
Sigma Solve Limited,SIGMA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120186_1381483_13022025015816.xml
Signatureglobal (India) Limited,SIGNATURE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119563_1377826_11022025024020.xml
Signet Industries Limited,SIGIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120798_1385746_15022025102502.xml
Signpost India Limited,SIGNPOST,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120668_1384834_14022025060138.xml
Sikko Industries Limited,SIKKO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119693_1378636_11022025065746.xml
Silgo Retail Limited,SILGO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119356_1376375_10022025032831.xml
Silly Monks Entertainment Limited,SILLYMONKS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118451_1368775_03022025123224.xml
Silver Touch Technologies Limited,SILVERTUC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118366_1367874_31012025073039.xml
Simbhaoli Sugars Limited,SIMBHALS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120438_1383325_14022025114838.xml
Simplex Infrastructures Limited,SIMPLEXINF,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120802_1385769_15022025105117.xml
Sinclairs Hotels Limited,SINCLAIR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118253_1366959_31012025124706.xml
Sindhu Trade Links Limited,SINDHUTRAD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120630_1384609_14022025052928.xml
Sintercom India Limited,SINTERCOM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119549_1377748_11022025015458.xml
Sirca Paints India Limited,SIRCA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119666_1378479_11022025060817.xml
Siti Networks Limited,SITINET,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
Siyaram Silk Mills Limited,SIYSIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117744_1361430_25012025053400.xml
Skipper Limited,SKIPPER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121066_1398027_20032025110412.xml
Smartlink Holdings Limited,SMARTLINK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119452_1377073_10022025071323.xml
Snowman Logistics Limited,SNOWMAN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118528_1369778_04022025111637.xml
Sobha Limited,SOBHA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119023_1374213_07022025024243.xml
Softtech Engineers Limited,SOFTTECH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121032_1394208_10032025011405.xml
Solar Industries India Limited,SOLARINDS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118797_1372268_06022025101504.xml
Solara Active Pharma Sciences Limited,SOLARA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117674_1360861_24012025073653.xml
Som Distilleries & Breweries Limited,SDBL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117908_1363646_28012025071820.xml
Soma Textiles & Industries Limited,SOMATEX,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119062_1374509_07022025044758.xml
Somany Ceramics Limited,SOMANYCERA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118951_1373692_06022025080943.xml
Somi Conveyor Beltings Limited,SOMICONVEY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120686_1384980_14022025062232.xml
Sona BLW Precision Forgings Limited,SONACOMS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117582_1359791_23012025083833.xml
Sonata Software Limited,SONATSOFTW,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118870_1372969_06022025042838.xml
South West Pinnacle Exploration Limited,SOUTHWEST,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118698_1371346_05022025014422.xml
Southern Petrochemicals Industries Corporation  Limited,SPIC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119123_1374904_07022025064246.xml
Spacenet Enterprises India Limited,SPCENET,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120867_1386074_15022025013803.xml
Spandana Sphoorty Financial Limited,SPANDANA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117576_1359744_23012025074742.xml
Speciality Restaurants Limited,SPECIALITY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118357_1367807_31012025070517.xml
Spencer's Retail Limited,SPENCERS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117293_1348216_16012025074104.xml
Sportking India Limited,SPORTKING,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120997_1393470_07032025122945.xml
Sree Rayalaseema Hi-Strength Hypo Limited,SRHHYPOLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120823_1385881_15022025115921.xml
Sreeleathers Limited,SREEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119987_1380343_12022025061744.xml
Sri Havisha Hospitality and Infrastructure Limited,HAVISHA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120415_1383089_13022025110538.xml
Stallion India Fluorochemicals Limited,STALLION,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119937_1380047_12022025052451.xml
Standard Engineering Technology Limited,SETL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119831_1379396_12022025020955.xml
Standard Industries Limited,SIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119424_1376897_10022025061939.xml
Stanley Lifestyles Limited,STANLEY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121074_1398610_21032025010118.xml
Star Cement Limited,STARCEMENT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120989_1393220_06032025054958.xml
Star Paper Mills Limited,STARPAPER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120256_1381948_13022025043215.xml
Starteck Finance Limited,STARTECK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118093_1365320_29012025100644.xml
State Bank of India,SBIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_118874_1373047_06022025045242.xml
Steel Authority of India Limited,SAIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119963_1380186_12022025054912.xml
Steel City Securities Limited,STEELCITY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118307_1367400_31012025050225.xml
Steel Strips Wheels Limited,SSWL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117327_1349790_17012025055306.xml
Steelcast Limited,STEELCAS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120991_1393248_06032025060658.xml
Stel Holdings Limited,STEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117484_1357116_22012025045714.xml
